Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_61_69,VPWR,li1,40.0200,176.8000,1.799988
FILLER_0_61_57,VPWR,li1,34.5000,176.8000,1.799990
FILLER_0_61_55,VPWR,li1,31.0500,176.8000,1.799990
FILLER_0_61_51,VPWR,li1,29.9000,176.8000,1.799990
FILLER_0_61_39,VPWR,li1,26.2200,176.8000,1.799991
FILLER_0_61_27,VPWR,li1,20.7000,176.8000,1.799992
FILLER_0_61_6,VPWR,li1,8.9700,176.8000,1.799986
FILLER_0_60_297,VPWR,li1,142.6000,176.8000,1.799985
FILLER_0_60_289,VPWR,li1,140.3000,176.8000,1.799985
FILLER_0_60_277,VPWR,li1,135.7000,176.8000,1.799985
FILLER_0_60_265,VPWR,li1,130.1800,176.8000,1.799985
FILLER_0_60_253,VPWR,li1,124.6600,176.8000,1.799985
FILLER_0_60_251,VPWR,li1,121.2100,176.8000,1.799985
FILLER_0_60_245,VPWR,li1,119.6000,176.8000,1.799985
FILLER_0_60_233,VPWR,li1,115.4600,176.8000,1.799985
FILLER_0_60_221,VPWR,li1,109.9400,176.8000,1.799985
FILLER_0_60_209,VPWR,li1,104.4200,176.8000,1.799985
FILLER_0_60_197,VPWR,li1,98.9000,176.8000,1.799985
FILLER_0_60_195,VPWR,li1,95.4500,176.8000,1.799985
FILLER_0_60_189,VPWR,li1,93.8400,176.8000,1.799985
FILLER_0_60_177,VPWR,li1,89.7000,176.8000,1.799985
FILLER_0_60_165,VPWR,li1,84.1800,176.8000,1.799985
FILLER_0_60_153,VPWR,li1,78.6600,176.8000,1.799985
FILLER_0_60_141,VPWR,li1,73.1400,176.8000,1.799985
FILLER_0_60_128,VPWR,li1,67.1600,176.8000,1.799985
FILLER_0_60_120,VPWR,li1,60.9500,176.8000,1.799985
FILLER_0_60_114,VPWR,li1,59.3400,176.8000,1.799985
FILLER_0_60_109,VPWR,li1,55.8900,176.8000,1.799986
FILLER_0_60_97,VPWR,li1,52.9000,176.8000,1.799986
FILLER_0_60_85,VPWR,li1,47.3800,176.8000,1.799987
FILLER_0_60_83,VPWR,li1,43.9300,176.8000,1.799988
FILLER_0_60_77,VPWR,li1,42.3200,176.8000,1.799988
FILLER_0_60_65,VPWR,li1,38.1800,176.8000,1.799989
FILLER_0_60_53,VPWR,li1,32.6600,176.8000,1.799990
FILLER_0_60_41,VPWR,li1,27.1400,176.8000,1.799991
FILLER_0_60_29,VPWR,li1,21.6200,176.8000,1.799992
FILLER_0_60_27,VPWR,li1,18.1700,176.8000,1.799990
FILLER_0_60_21,VPWR,li1,16.5600,176.8000,1.799990
FILLER_0_60_13,VPWR,li1,11.7300,176.8000,1.799987
FILLER_0_60_7,VPWR,li1,10.1200,176.8000,1.799986
FILLER_0_59_293,VPWR,li1,141.6800,171.3600,1.799995
FILLER_0_59_281,VPWR,li1,137.5400,171.3600,1.799995
FILLER_0_59_279,VPWR,li1,134.0900,171.3600,1.799995
FILLER_0_59_273,VPWR,li1,132.4800,171.3600,1.799995
FILLER_0_59_261,VPWR,li1,128.3400,171.3600,1.799995
FILLER_0_59_249,VPWR,li1,122.8200,171.3600,1.799995
FILLER_0_59_237,VPWR,li1,117.3000,171.3600,1.799995
FILLER_0_59_225,VPWR,li1,111.7800,171.3600,1.799995
FILLER_0_59_223,VPWR,li1,108.3300,171.3600,1.799995
FILLER_0_59_217,VPWR,li1,106.7200,171.3600,1.799995
FILLER_0_59_205,VPWR,li1,102.5800,171.3600,1.799995
FILLER_0_59_193,VPWR,li1,97.0600,171.3600,1.799995
FILLER_0_59_181,VPWR,li1,91.5400,171.3600,1.799995
FILLER_0_59_169,VPWR,li1,86.0200,171.3600,1.799995
